id	text.id	subfile	spk.ref	zone	date	sex	age	reside	relig	word.count
1	S1A-001	1	A	northern ireland	1990-1994	male	34-41	belfast	protestant	765
2	S1A-001	1	B	northern ireland	1990-1994	female	34-41	belfast	protestant	1298
4	S1A-002	1	A	northern ireland	2002-2005	female	26-33	belfast	catholic	391
5	S1A-002	1	B	northern ireland	2002-2005	female	19-25	belfast	catholic	47
6	S1A-002	1	C	northern ireland	2002-2005	male	50+	belfast	catholic	200
7	S1A-002	1	D	northern ireland	2002-2005	female	50+	belfast	catholic	464
8	S1A-002	1	E	mixed between ni and roi	2002-2005	male	34-41	england	catholic	639
9	S1A-002	1	F	northern ireland	2002-2005	female	26-33	belfast	catholic	308
10	S1A-002	1	G	northern ireland	2002-2005	female	50+	belfast	catholic	78
11	S1A-002	1	H	mixed between ni and roi	2002-2005	male	19-25	england	catholic	98
12	S1A-002	1	I	mixed between ni and roi	2002-2005	female	34-41	england	catholic	28
14	S1A-003	1	A	mixed between ni and roi	2002-2005	male	34-41	england	catholic	532
15	S1A-003	1	B	northern ireland	2002-2005	female	26-33	belfast	catholic	447
16	S1A-003	1	C	northern ireland	2002-2005	female	19-25	belfast	catholic	480
17	S1A-003	1	D	northern ireland	2002-2005	female	50+	belfast	catholic	276
18	S1A-003	1	E	northern ireland	2002-2005	female	26-33	belfast	catholic	403
19	S1A-003	1	F	mixed between ni and roi	2002-2005	male	19-25	england	catholic	183
21	S1A-004	1	A	northern ireland	2002-2005	female	50+	belfast	catholic	1280
22	S1A-004	1	B	northern ireland	2002-2005	female	50+	belfast	catholic	525
23	S1A-004	1	C	northern ireland	2002-2005	female	50+	belfast	catholic	355
24	S1A-005	1	A	northern ireland	2002-2005	male	34-41	down	protestant	689
25	S1A-005	1	B	northern ireland	2002-2005	male	26-33	belfast	protestant	1075
26	S1A-005	1	C	northern ireland	2002-2005	female	26-33	belfast	catholic	277
28	S1A-006	1	A	northern ireland	2002-2005	female	26-33	belfast	catholic	1051
29	S1A-006	1	B	mixed between ni and roi	2002-2005	female	34-41	dublin (city)	catholic	769
30	S1A-006	1	C	northern ireland	2002-2005	female	34-41	belfast	catholic	279
31	S1A-006	1	D	northern ireland	2002-2005	female	26-33	belfast	catholic	194
32	S1A-006	1	E	northern ireland	2002-2005	female	26-33	belfast	catholic	135
33	S1A-007	1	A	mixed between ni and roi	2002-2005	female	34-41	dublin (city)	catholic	658
34	S1A-007	1	B	northern ireland	2002-2005	female	34-41	belfast	catholic	941
35	S1A-007	1	C	northern ireland	2002-2005	female	34-41	belfast	catholic	142
36	S1A-007	1	D	northern ireland	2002-2005	female	26-33	belfast	catholic	195
37	S1A-007	1	E	northern ireland	2002-2005	female	26-33	belfast	catholic	235
38	S1A-007	1	F	northern ireland	2002-2005	female	26-33	belfast	catholic	168
40	S1A-008	1	A	northern ireland	2002-2005	female	50+	belfast	catholic	308
41	S1A-008	1	B	northern ireland	2002-2005	female	50+	belfast	catholic	456
42	S1A-008	1	C	northern ireland	2002-2005	female	50+	belfast	catholic	753
43	S1A-008	1	D	northern ireland	2002-2005	female	50+	belfast	catholic	410
44	S1A-009	1	A	northern ireland	2002-2005	female	50+	belfast	catholic	964
45	S1A-009	1	B	northern ireland	2002-2005	female	50+	belfast	catholic	620
46	S1A-009	1	C	northern ireland	2002-2005	female	26-33	belfast	catholic	31
48	S1A-010	1	A	mixed between ni and roi	2002-2005	female	26-33	england	protestant	384
49	S1A-010	1	B	northern ireland	2002-2005	female	26-33	(london)derry	catholic	510
50	S1A-010	1	C	mixed between ni and roi	2002-2005	female	26-33	belfast	catholic	530
51	S1A-010	1	D	northern ireland	2002-2005	female	26-33	belfast	catholic	149
52	S1A-010	1	E	northern ireland	2002-2005	female	26-33	down	catholic	35
55	S1A-011	1	A	northern ireland	2002-2005	female	26-33	antrim	protestant	497
56	S1A-011	1	B	republic of ireland	2002-2005	female	NA	dublin (city)	catholic	1358
57	S1A-011	1	C	northern ireland	2002-2005	female	26-33	belfast	catholic	56
58	S1A-011	1	D	mixed between ni and roi	2002-2005	female	26-33	NA	protestant	4
64	S1A-014	1	A	northern ireland	1990-1994	female	19-25	NA	protestant	155
84	S1A-018	1	D	northern ireland	1990-1994	female	19-25	belfast	catholic	268
85	S1A-019	1	A	northern ireland	2002-2005	female	26-33	belfast	catholic	749
86	S1A-019	1	B	northern ireland	2002-2005	female	26-33	belfast	protestant	474
87	S1A-019	1	C	northern ireland	2002-2005	female	34-41	belfast	catholic	445
88	S1A-019	1	D	northern ireland	2002-2005	female	26-33	belfast	catholic	310
90	S1A-020	1	A	northern ireland	2002-2005	female	26-33	belfast	catholic	604
91	S1A-020	1	B	northern ireland	2002-2005	female	26-33	belfast	protestant	292
92	S1A-020	1	C	northern ireland	2002-2005	female	34-41	belfast	catholic	330
93	S1A-020	1	D	northern ireland	2002-2005	female	26-33	belfast	catholic	943
95	S1A-021	1	A	northern ireland	2002-2005	female	26-33	belfast	catholic	430
96	S1A-021	1	B	northern ireland	2002-2005	male	26-33	belfast	catholic	57
97	S1A-021	1	C	northern ireland	2002-2005	female	26-33	belfast	catholic	16
98	S1A-021	1	D	northern ireland	2002-2005	male	50+	belfast	catholic	449
