"ID"	"Name"	"City"	"Country"	"Latitude"	"Longitude"
4262	"Lake Tahoe Airport"	"South Lake Tahoe"	"United States"	38.8939018249512	-119.995002746582
4263	"Joslin Field Magic Valley Regional Airport"	"Twin Falls"	"United States"	42.4818	-114.487999
4265	"Martha's Vineyard Airport"	"Vineyard Haven MA"	"United States"	41.3931007385	-70.6143035889
4268	"Concord Municipal Airport"	"Concord NH"	"United States"	43.20270157	-71.50229645
4270	"Groton New London Airport"	"Groton CT"	"United States"	41.3301010131836	-72.0450973510742
4271	"St Cloud Regional Airport"	"Saint Cloud"	"United States"	45.5466003417969	-94.0598983764648
4272	"Qinhuangdao Beidaihe Airport"	"Bagan"	"Burma"	39.666389	119.058889
4273	"Golden Triangle Regional Airport"	"Columbus Mississippi"	"United States"	33.4502983093	-88.5914001465
4274	"Nizhny Novgorod Strigino International Airport"	"Nizhniy Novgorod"	"Russia"	56.230098724365	43.784000396729
4275	"Bowerman Airport"	"Hoquiam"	"United States"	46.9711990356	-123.93699646
4276	"Erie International Tom Ridge Field"	"Erie"	"United States"	42.0831270134	-80.1738667488
4278	"Barnstable Municipal Boardman Polando Field"	"Barnstable"	"United States"	41.66930008	-70.28040314
4279	"San Pedro Airport"	"San Pedro"	"Belize"	17.9139	-87.9711
4280	"Sedona Airport"	"Sedona"	"United States"	34.848598480225	-111.78800201416
4284	"Morgantown Municipal Walter L. Bill Hart Field"	"Morgantown"	"United States"	39.64289856	-79.91629791
4285	"Yeager Airport"	"Charleston"	"United States"	38.3731002807617	-81.5932006835938
4286	"Wilkes Barre Scranton International Airport"	"Scranton"	"United States"	41.3385009766	-75.7233963013
4287	"Bemidji Regional Airport"	"Bemidji"	"United States"	47.50939941	-94.93370056
4289	"Thangool Airport"	"Biloela"	"Australia"	-24.4939002990723	150.57600402832
4290	"Fagali'i Airport"	"Apia"	"Samoa"	-13.8486995697	-171.740005493
4291	"Ballina Byron Gateway Airport"	"Ballina Byron Bay"	"Australia"	-28.8339004517	153.56199646
4292	"Hector International Airport"	"Fargo"	"United States"	46.9207000732422	-96.815803527832
4293	"Charles B. Wheeler Downtown Airport"	"Kansas City"	"United States"	39.1231994628906	-94.5927963256836
4295	"Ratanakiri Airport"	"Ratanakiri"	"Cambodia"	13.7299995422363	106.986999511719
4296	"Gillette Campbell County Airport"	"Gillette"	"United States"	44.3488998413	-105.539001465
4297	"Bogashevo Airport"	"Tomsk"	"Russia"	56.380298614502	85.208297729492
4298	"El Toro Marine Corps Air Station"	"Santa Ana"	"United States"	33.6761016845703	-117.731002807617
4299	"Phetchabun Airport"	"Phetchabun"	"Thailand"	16.6760005951	101.194999695
4300	"Chumphon Airport"	"Chumphon"	"Thailand"	10.711199760437	99.361701965332
4301	"Jiuzhai Huanglong Airport"	"Jiuzhaigou"	"China"	32.8533333333	103.682222222
4302	"Jieyang Chaoshan International Airport"	"Shantou"	"China"	23.552	116.5033
4303	"Enghien Moisselles Airfield"	"Enghien-moisselles"	"France"	49.046398	2.35306
4304	"Cheddi Jagan International Airport"	"Georgetown"	"Guyana"	6.4985499382019	-58.2541007995605
4305	"Guarani International Airport"	"Ciudad del Este"	"Paraguay"	-25.454516	-54.842682
4306	"Eugene F. Correira International Airport"	"Georgetown"	"Guyana"	6.80628	-58.1059
4307	"Kaieteur International Airport"	"Kaieteur"	"Guyana"	5.17275476456	-59.491481781
4308	"Dunhuang Airport"	"Dunhuang"	"China"	40.1610984802246	94.809196472168
4309	"Ancona Falconara Airport"	"Ancona"	"Italy"	43.616299	13.3623
4312	"Chamonate Airport"	"Copiapo"	"Chile"	-27.2968997955	-70.4131011963
4313	"Taba International Airport"	"Taba"	"Egypt"	29.5877990723	34.7780990601
4314	"Edward Bodden Airfield"	"Little Cayman"	"Cayman Islands"	19.660161	-80.088826
4315	"Milas Bodrum International Airport"	"Bodrum"	"Turkey"	37.2505989075	27.6643009186
4316	"Tabarka 7 Novembre Airport"	"Tabarka"	"Tunisia"	36.9799995422363	8.87693977355957
4317	"Sabiha Gökçen International Airport"	"Istanbul"	"Turkey"	40.898601532	29.3092002869
4318	"University Park Airport"	"State College Pennsylvania"	"United States"	40.8493003845	-77.8487014771
4319	"Broome International Airport"	"Broome"	"Australia"	-17.9447002410889	122.232002258301
4320	"Newcastle Airport"	"Newcastle"	"Australia"	-32.7949981689453	151.833999633789
4321	"Bakki Airport"	"Bakki"	"Iceland"	63.5560989379883	-20.1375007629395
4322	"Klagenfurt Airport"	"Klagenfurt"	"Austria"	46.642502	14.3377
4325	"Hammerfest Airport"	"Hammerfest"	"Norway"	70.679702758789	23.668600082397
4326	"Valan Airport"	"Honningsvag"	"Norway"	71.009696960449	25.983600616455
4327	"Mehamn Airport"	"Mehamn"	"Norway"	71.02970123291	27.826700210571
4328	"Vadsø Airport"	"Vadsø"	"Norway"	70.065299987793	29.844699859619
4330	"Imam Khomeini International Airport"	"Tehran"	"Iran"	35.4160995483398	51.1521987915039
4331	"Mashhad International Airport"	"Mashhad"	"Iran"	36.2351989746094	59.640998840332
4333	"Ust-Ilimsk Airport"	"Ust Ilimsk"	"Russia"	58.136100769043	102.565002441406
4335	"Key Field"	"Meridian"	"United States"	32.3325996398926	-88.7518997192383
4336	"Abraham Lincoln Capital Airport"	"Springfield"	"United States"	39.84410095	-89.67790222
4338	"Cortez Municipal Airport"	"Cortez"	"United States"	37.3030014038	-108.627998352
4339	"Yampa Valley Airport"	"Hayden"	"United States"	40.48120117	-107.2180023
4340	"Gallup Municipal Airport"	"Gallup"	"United States"	35.511100769	-108.789001465
4341	"Liberal Mid-America Regional Airport"	"Liberal"	"United States"	37.0442009	-100.9599991
4342	"Lamar Municipal Airport"	"Lamar"	"United States"	38.0696983337	-102.68800354
4343	"Renner Field-Goodland Municipal Airport"	"Goodland"	"United States"	39.37060165	-101.6989975
4344	"Yellowstone Regional Airport"	"Cody"	"United States"	44.520198822	-109.024002075
4345	"Ørsta-Volda Airport, Hovden"	"Orsta-Volda"	"Norway"	62.180000305176	6.0741000175476
4347	"St. Mary's Airport"	"ST MARY\'S"	"United Kingdom"	49.9132995605469	-6.29166984558105
4348	"Springfield Branson National Airport"	"Springfield"	"United States"	37.24570084	-93.38860321
